Transaction ID,Date,Customer ID,Age,Product Category,Quantity,Price per Unit,Total Amount
1,24-11-2023,CUST001,34,Beauty,3,50,150
2,27-02-2023,CUST002,26,Clothing,2,500,1000
3,13-01-2023,CUST003,50,Electronics,1,30,30
4,21-05-2023,CUST004,37,Clothing,1,500,500
5,06-05-2023,CUST005,30,Beauty,2,50,100
6,25-04-2023,CUST006,45,Beauty,1,30,30
7,13-03-2023,CUST007,46,Clothing,2,25,50
8,22-02-2023,CUST008,30,Electronics,4,25,100
9,13-12-2023,CUST009,63,Electronics,2,300,600
10,07-10-2023,CUST010,52,Clothing,4,50,200
11,14-02-2023,CUST011,23,Clothing,2,50,100
12,30-10-2023,CUST012,35,Beauty,3,25,75
13,05-08-2023,CUST013,22,Electronics,3,500,1500
14,17-01-2023,CUST014,64,Clothing,4,30,120
15,16-01-2023,CUST015,42,Electronics,4,500,2000
16,17-02-2023,CUST016,19,Clothing,3,500,1500
17,22-04-2023,CUST017,27,Clothing,4,25,100
18,30-04-2023,CUST018,47,Electronics,2,25,50
19,16-09-2023,CUST019,62,Clothing,2,25,50
20,05-11-2023,CUST020,22,Clothing,3,300,900
21,14-01-2023,CUST021,50,Beauty,1,500,500
22,15-10-2023,CUST022,18,Clothing,2,50,100
23,12-04-2023,CUST023,35,Clothing,4,30,120
24,29-11-2023,CUST024,49,Clothing,1,300,300
25,26-12-2023,CUST025,64,Beauty,1,50,50
26,07-10-2023,CUST026,28,Electronics,2,500,1000
27,03-08-2023,CUST027,38,Beauty,2,25,50
28,23-04-2023,CUST028,43,Beauty,1,500,500
29,18-08-2023,CUST029,42,Electronics,1,30,30
30,29-10-2023,CUST030,39,Beauty,3,300,900
31,23-05-2023,CUST031,44,Electronics,4,300,1200
32,04-01-2023,CUST032,30,Beauty,3,30,90
33,23-03-2023,CUST033,50,Electronics,2,50,100
34,24-12-2023,CUST034,51,Clothing,3,50,150
35,05-08-2023,CUST035,58,Beauty,3,300,900
36,24-06-2023,CUST036,52,Beauty,3,300,900
37,23-05-2023,CUST037,18,Beauty,3,25,75
38,21-03-2023,CUST038,38,Beauty,4,50,200
39,21-04-2023,CUST039,23,Clothing,4,30,120
40,22-06-2023,CUST040,45,Beauty,1,50,50
41,22-02-2023,CUST041,34,Clothing,2,25,50
42,17-02-2023,CUST042,22,Clothing,3,300,900
43,14-07-2023,CUST043,48,Clothing,1,300,300
44,19-02-2023,CUST044,22,Clothing,1,25,25
45,03-07-2023,CUST045,55,Electronics,1,30,30
46,26-06-2023,CUST046,20,Electronics,4,300,1200
47,06-11-2023,CUST047,40,Beauty,3,500,1500
48,16-05-2023,CUST048,54,Electronics,3,300,900
49,23-01-2023,CUST049,54,Electronics,2,500,1000
50,24-08-2023,CUST050,27,Beauty,3,25,75
