,transaction_id,date,customer_id,age,product_id,quantity,price_per_unit,total_sale
0,1,24-11-2023,CUST001,34,0,3,50.0,150.0
1,2,27-02-2023,CUST002,26,1,2,500.0,1000.0
2,3,13-01-2023,CUST003,50,2,1,30.0,30.0
3,4,21-05-2023,CUST004,37,1,1,500.0,500.0
4,5,06-05-2023,CUST005,30,0,2,50.0,100.0
5,6,25-04-2023,CUST006,45,0,1,30.0,30.0
6,7,13-03-2023,CUST007,46,1,2,25.0,50.0
7,8,22-02-2023,CUST008,30,2,4,25.0,100.0
8,9,13-12-2023,CUST009,63,2,2,300.0,600.0
9,10,07-10-2023,CUST010,52,1,4,50.0,200.0
10,11,14-02-2023,CUST011,23,1,2,50.0,100.0
11,12,30-10-2023,CUST012,35,0,3,25.0,75.0
12,13,05-08-2023,CUST013,22,2,3,500.0,1500.0
13,14,17-01-2023,CUST014,64,1,4,30.0,120.0
14,15,16-01-2023,CUST015,42,2,4,500.0,2000.0
15,16,17-02-2023,CUST016,19,1,3,500.0,1500.0
16,17,22-04-2023,CUST017,27,1,4,25.0,100.0
17,18,30-04-2023,CUST018,47,2,2,25.0,50.0
18,19,16-09-2023,CUST019,62,1,2,25.0,50.0
19,20,05-11-2023,CUST020,22,1,3,300.0,900.0
20,21,14-01-2023,CUST021,50,0,1,500.0,500.0
21,22,15-10-2023,CUST022,18,1,2,50.0,100.0
22,23,12-04-2023,CUST023,35,1,4,30.0,120.0
23,24,29-11-2023,CUST024,49,1,1,300.0,300.0
24,25,26-12-2023,CUST025,64,0,1,50.0,50.0
25,26,07-10-2023,CUST026,28,2,2,500.0,1000.0
26,27,03-08-2023,CUST027,38,0,2,25.0,50.0
27,28,23-04-2023,CUST028,43,0,1,500.0,500.0
28,29,18-08-2023,CUST029,42,2,1,30.0,30.0
29,30,29-10-2023,CUST030,39,0,3,300.0,900.0
30,31,23-05-2023,CUST031,44,2,4,300.0,1200.0
31,32,04-01-2023,CUST032,30,0,3,30.0,90.0
32,33,23-03-2023,CUST033,50,2,2,50.0,100.0
33,34,24-12-2023,CUST034,51,1,3,50.0,150.0
34,35,05-08-2023,CUST035,58,0,3,300.0,900.0
35,36,24-06-2023,CUST036,52,0,3,300.0,900.0
36,37,23-05-2023,CUST037,18,0,3,25.0,75.0
37,38,21-03-2023,CUST038,38,0,4,50.0,200.0
38,39,21-04-2023,CUST039,23,1,4,30.0,120.0
39,40,22-06-2023,CUST040,45,0,1,50.0,50.0
40,41,22-02-2023,CUST041,34,1,2,25.0,50.0
41,42,17-02-2023,CUST042,22,1,3,300.0,900.0
42,43,14-07-2023,CUST043,48,1,1,300.0,300.0
43,44,19-02-2023,CUST044,22,1,1,25.0,25.0
44,45,03-07-2023,CUST045,55,2,1,30.0,30.0
45,46,26-06-2023,CUST046,20,2,4,300.0,1200.0
46,47,06-11-2023,CUST047,40,0,3,500.0,1500.0
47,48,16-05-2023,CUST048,54,2,3,300.0,900.0
48,49,23-01-2023,CUST049,54,2,2,500.0,1000.0
49,50,24-08-2023,CUST050,27,0,3,25.0,75.0
50,51,02-10-2023,CUST051,27,0,3,25.0,75.0
51,52,05-03-2023,CUST052,36,0,1,300.0,300.0
52,53,13-07-2023,CUST053,34,2,2,50.0,100.0
53,54,10-02-2023,CUST054,38,2,3,500.0,1500.0
54,55,10-10-2023,CUST055,31,0,4,30.0,120.0
55,56,31-05-2023,CUST056,26,1,3,300.0,900.0
56,57,18-11-2023,CUST057,63,0,1,30.0,30.0
57,58,13-11-2023,CUST058,18,1,4,300.0,1200.0
58,59,05-07-2023,CUST059,62,1,1,50.0,50.0
59,60,23-10-2023,CUST060,30,0,3,50.0,150.0
60,61,09-04-2023,CUST061,21,0,4,50.0,200.0
61,62,27-12-2023,CUST062,18,0,2,50.0,100.0
62,63,05-02-2023,CUST063,57,2,2,25.0,50.0
63,64,24-01-2023,CUST064,49,1,4,25.0,100.0
64,65,05-12-2023,CUST065,51,2,4,500.0,2000.0
65,66,27-04-2023,CUST066,45,2,1,30.0,30.0
66,67,29-05-2023,CUST067,48,0,4,300.0,1200.0
67,68,10-02-2023,CUST068,25,2,1,300.0,300.0
68,69,30-04-2023,CUST069,56,0,3,25.0,75.0
69,70,21-02-2023,CUST070,43,1,1,300.0,300.0
70,71,14-07-2023,CUST071,51,0,4,25.0,100.0
71,72,23-05-2023,CUST072,20,2,4,500.0,2000.0
72,73,21-08-2023,CUST073,29,2,3,30.0,90.0
73,74,22-11-2023,CUST074,18,0,4,500.0,2000.0
74,75,06-07-2023,CUST075,61,0,4,50.0,200.0
75,76,25-03-2023,CUST076,22,2,2,50.0,100.0
76,77,09-07-2023,CUST077,47,1,2,50.0,100.0
77,78,01-07-2023,CUST078,47,1,3,500.0,1500.0
78,79,18-04-2023,CUST079,34,0,1,300.0,300.0
79,80,10-12-2023,CUST080,64,1,2,30.0,60.0
80,81,17-05-2023,CUST081,40,2,1,50.0,50.0
81,82,26-12-2023,CUST082,32,0,4,50.0,200.0
82,83,16-12-2023,CUST083,54,2,2,50.0,100.0
83,84,28-11-2023,CUST084,38,2,3,30.0,90.0
84,85,06-02-2023,CUST085,31,1,3,50.0,150.0
85,86,08-11-2023,CUST086,19,0,3,30.0,90.0
86,87,22-11-2023,CUST087,28,0,2,50.0,100.0
87,88,29-03-2023,CUST088,56,1,1,500.0,500.0
88,89,01-10-2023,CUST089,55,2,4,500.0,2000.0
89,90,06-05-2023,CUST090,51,2,1,30.0,30.0
90,91,25-03-2023,CUST091,55,2,1,500.0,500.0
91,92,25-08-2023,CUST092,51,2,4,30.0,120.0
92,93,14-07-2023,CUST093,35,0,4,500.0,2000.0
